"140226","山西","大同","左云县"
"140227","山西","大同","大同县"
"140300","山西","阳泉",
"140301","山西","阳泉","市辖区"
"140302","山西","阳泉","城区"
"140303","山西","阳泉","矿区"
"140311","山西","阳泉","郊区"
"140321","山西","阳泉","平定县"
"140322","山西","阳泉","盂县"
"140400","山西","长治",
"140401","山西","长治","市辖区"
"140402","山西","长治","城区"
"140411","山西","长治","郊区"
"140421","山西","长治","长治县"
"140423","山西","长治","襄垣县"
"140424","山西","长治","屯留县"
"140425","山西","长治","平顺县"
"140426","山西","长治","黎城县"
"140427","山西","长治","壶关县"
"140428","山西","长治","长子县"
"140429","山西","长治","武乡县"
"140430","山西","长治","沁县"
"140431","山西","长治","沁源县"
"140481","山西","长治","潞城市"
"140500","山西","晋城",
"140501","山西","晋城","市辖区"
"140502","山西","晋城","城区"
"140521","山西","晋城","沁水县"
"140522","山西","晋城","阳城县"
"140524","山西","晋城","陵川县"
"140525","山西","晋城","泽州县"
"140581","山西","晋城","高平市"
"140600","山西","朔州市",
"140601","山西","晋城","市辖区"
"140602","山西","朔州","朔城区"
"140603","山西","朔州","平鲁区"
"140621","山西","朔州","山阴县"
"140622","山西","朔州","应县"
"140623","山西","朔州","右玉县"
"140624","山西","朔州","怀仁县"
"142200","山西","忻州地区",
"142201","山西","忻州地区","忻州市"
"142202","山西","忻州地区","原平市"
"142222","山西","忻州地区","定襄县"
"142223","山西","忻州地区","五台县"
"142225","山西","忻州地区","代县"
"142226","山西","忻州地区","繁峙县"
"142227","山西","忻州地区","宁武县"
"142228","山西","忻州地区","静乐县"
"142229","山西","忻州地区","神池县"
"142230","山西","忻州地区","五寨县"
"142231","山西","忻州地区","岢岚县"
"142232","山西","忻州地区","河曲县"
"142233","山西","忻州地区","保德县"
"142234","山西","忻州地区","偏关县"
"142300","山西","忻州地区吕梁地区",
"142301","山西","忻州地区吕梁地区","孝义市"
"142302","山西","忻州地区吕梁地区","离石市"
"142303","山西","忻州地区吕梁地区","汾阳市"
"142322","山西","忻州地区吕梁地区","文水县"
"142323","山西","忻州地区吕梁地区","交城县"
"142325","山西","忻州地区吕梁地区","兴县"
"142326","山西","忻州地区吕梁地区","临县"
"142327","山西","忻州地区吕梁地区","柳林县"
"142328","山西","忻州地区吕梁地区","石楼县"
"142329","山西","忻州地区吕梁地区","岚县"
"142330","山西","忻州地区吕梁地区","方山县"
"142332","山西","忻州地区吕梁地区","中阳县"
"142333","山西","忻州地区吕梁地区","交口县"
"142400","山西","晋中地区",
"142401","山西","晋中地区","榆次市"
"142402","山西","晋中地区","介休市"
"142421","山西","晋中地区","榆社县"
"142422","山西","晋中地区","左权县"
"142423","山西","晋中地区","和顺县"
"142424","山西","晋中地区","昔阳县"
"142427","山西","晋中地区","寿阳县"
"142429","山西","晋中地区","太谷县"
"142430","山西","晋中地区","祁县"
"142431","山西","晋中地区","平遥县"
"142433","山西","晋中地区","灵石县"
"142600","山西","临汾地区",
"142601","山西","临汾地区","临汾市"
"142602","山西","临汾地区","侯马市"
"142603","山西","临汾地区","霍州市"
"142621","山西","临汾地区","曲沃县"
"142622","山西","临汾地区","翼城县"
"142623","山西","临汾地区","襄汾县"
"142625","山西","临汾地区","洪洞县"
"142627","山西","临汾地区","古县"
"142628","山西","临汾地区","安泽县"
"142629","山西","临汾地区","浮山县"
"142630","山西","临汾地区","吉县"
"142631","山西","临汾地区","乡宁县"
"142632","山西","临汾地区","蒲县"
"142633","山西","临汾地区","大宁县"
"142634","山西","临汾地区","永和县"
"142635","山西","临汾地区","隰县"
"142636","山西","临汾地区","汾西县"
"142700","山西","运城地区",
"142701","山西","运城地区","运城市"
"142702","山西","运城地区","永济市"
"142703","山西","运城地区","河津市"
"142723","山西","运城地区","芮城县"
"142724","山西","运城地区","临猗县"
"142725","山西","运城地区","万荣县"
"142726","山西","运城地区","新绛县"
"142727","山西","运城地区","稷山县"
"142729","山西","运城地区","闻喜县"
"142730","山西","运城地区","夏县"
"142731","山西","运城地区","绛县"
"142732","山西","运城地区","平陆县"
"142733","山西","运城地区","垣曲县"
"150000","内蒙古",,
"150100","内蒙古","呼和浩特",
"150101","内蒙古","呼和浩特市","市辖区"
"150102","内蒙古","呼和浩特","新城区"
"150103","内蒙古","呼和浩特","回民区"
"150104","内蒙古","呼和浩特","玉泉区"
"150105","内蒙古","呼和浩特","赛罕区"
"150121","内蒙古","呼和浩特","土默特左旗"
"150122","内蒙古","呼和浩特","托克托县"
"150123","内蒙古","呼和浩特","和林格尔县"
"150124","内蒙古","呼和浩特","清水河县"
"150125","内蒙古","呼和浩特","武川县"
"150200","内蒙古","包头",
"150201","内蒙古","包头","市辖区"
"150202","内蒙古","包头","东河区"
"150203","内蒙古","包头","昆都仑区"
"150204","内蒙古","包头","青山区"
